system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2019_11_29_0,43.0,8.0,0.0,8.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_03_0,35.0,8.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_07_0,36.0,0.0,2.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_11_0,36.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_15_0,61.0,72.0,8.0,6.0,11.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_19_0,35.0,0.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_23_0,36.0,0.0,0.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_27_0,33.0,32.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_12_31_0,35.0,0.0,0.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_01_0,35.0,0.0,0.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_05_0,35.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_09_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_13_0,37.0,8.0,2.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_17_0,42.0,72.0,18.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_21_0,35.0,8.0,18.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_25_0,5.0,0.0,105.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_01_29_0,25.0,72.0,2.0,0.0,4.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_02_0,34.0,48.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
